team,ft_rate_off_gravity,ft_rate_def_gravity,ft_rate_off_avg,ft_rate_def_avg
Tarleton St.,0.4144737878516892,1.0882810614320846,42.72690772995908,46.92886411503761
Temple,1.0575079292456946,0.3607202584678981,42.578958328270204,37.065917413579115
Tennessee,1.288638160186999,-1.1108908857222235,38.98597828348751,36.371839490434226
Tennessee Martin,-0.5270238337609032,1.3875955141499297,37.99851020462226,36.44740812042192
Tennessee St.,2.259250305548693,1.0927597848643102,34.29058889238295,42.161309535977104
Tennessee Tech,-1.332248984060932,0.5312310717978516,36.69761447943955,31.77408881767982
Texas,1.102727548163348,0.7567201444097669,46.572306329918206,42.04399716708543
Texas A&M,0.9206412994325214,-0.49950371643249,38.26237167555328,36.01029530301546
Texas A&M Corpus Chris,0.47686394334710414,1.1976908883080768,41.89799320650856,47.3022555538072
Texas Southern,-1.052301095738724,1.001616647246525,38.563181343226326,44.03877311128427
Texas St.,2.7418149913692655,0.9916912301887068,34.95125246405114,39.731893677574156
Texas Tech,0.6800721712202975,1.1797046781869842,27.900824393853597,31.937256654870648
The Citadel,0.9268127315969065,0.9808980628387272,30.17555451389678,34.102880434735454
Toledo,1.181281398427497,1.0123411010559717,31.621590626693955,26.999316812149758
Towson,1.0568639667769117,0.9592527087448677,30.979217352867376,30.32274242287279
Troy,-0.5676085177911896,1.036980604808385,36.65650780316891,31.801864502131675
Tulane,0.9133570206326894,0.5800616203234685,45.411304157115346,38.40518747531408
Tulsa,0.7014451167096771,1.3170414630180138,41.891583653485384,32.0077131439019
UAB,0.06758198147736437,1.2592435658149435,36.94280333479027,28.586981795119673
UC Davis,0.8418502584020048,0.7466439341073772,42.077730357299714,38.58251106021936
UC Irvine,-0.3337181753022849,1.0205549699660905,37.126487358474314,28.07235174072316
UC Riverside,0.49907881848239594,0.9180141115053849,35.734889825122465,41.74991888261606
UC San Diego,1.3067158440564846,1.201032629664381,31.76265178009076,30.095474632764365
UC Santa Barbara,0.17235560774826916,0.8502470210364167,36.97952732415988,43.112549044537225
UCF,0.36315424165830057,0.36063078072348376,31.21044006692332,35.458013018214395
UCLA,-0.5366594977073823,2.6271518182050846,33.5285829566954,35.361013070571914
UMBC,1.6760028931040587,0.9520218343646922,33.718749838916466,26.075859117031154
UMKC,1.0438044332733907,1.1935167000403042,29.696910427347035,31.768873666751173
UMass Lowell,-0.10953472953114682,0.6695205932587246,36.22322511628297,29.021335814919087
UNC Asheville,0.6977934861587959,0.5963155349873542,40.41635138366851,39.08679572332062
UNC Greensboro,1.0686536610606578,0.9059466311622476,42.82323507529683,30.868860236310116
UNC Wilmington,0.8506837109080321,1.5388120102218426,42.828612508464715,32.06926024694974
UNLV,1.0119727982429854,0.8570761994500538,42.46963813158233,47.09589161040492
USC,1.4204153821930599,1.2922389775824321,45.58536195362426,34.39680993998188
USC Upstate,1.4568596439606494,0.35751997011876147,33.82587200242729,36.96740346579874
UT Arlington,0.569808514569224,1.1665113913149758,45.12044061272779,42.0929351788792
UT Rio Grande Valley,1.482183145734354,1.2041004535463347,29.05867713559456,39.37192480985785
UTEP,1.682959785951707,0.9863605576945741,33.52355090089681,42.55870967724786
UTSA,1.176601629778534,2.094262780061592,30.35875674226511,33.9318637624207
Utah,0.36224150833244906,0.9890538553808571,31.884201156887173,30.383714839797516
Utah St.,0.6615607761927013,0.2438116465033561,39.20299125820876,39.45461210647098
Utah Tech,1.8103574656300363,1.408214476750806,30.486030102499328,33.93924523495374
Utah Valley,-0.6947345167799187,0.9764730010617801,37.82245439965795,40.603583688771984
VCU,0.9863635266922055,1.6746137832845025,45.14895696179844,34.87028064309157
VMI,0.9077606360283096,-0.45860862523705936,30.980514336507376,36.247456767156834
Valparaiso,1.3049662817893293,-0.3852930348119305,41.08047827709154,35.43783916427834
Vanderbilt,1.0680981154677751,0.7644888552406587,39.15746937922192,42.01307344038198
Vermont,0.8513429844136623,1.4810907734202094,32.45249639279351,36.6744121188328
Villanova,0.3743194894847395,1.2408609557905457,31.940586537332056,29.28199204795996
